Month_Index,Current_Ratio,Quick_Ratio,Working_Capital_NAD_000,Working_Capital_USD_000,EBITDA_Margin,Operating_Margin,Net_Margin,CFO_NAD_000,CFI_NAD_000,CFF_NAD_000,CFO_USD_000,CFI_USD_000,CFF_USD_000,Free_Cash_Flow_NAD_000,Free_Cash_Flow_USD_000,Cash_Runway_Months,Year_Index
1,inf,inf,11592.916666666666,626.6441441441441,-1029083333333.3334,-1029083333333.3334,-1029083333333.3334,-1472.6388888888891,3372.0,0.0,-79.60210210210212,182.27027027027026,0.0,1899.3611111111109,102.66816816816815,7.571008205224935,1
2,28.976703406813623,28.310036740146955,18613.833333333332,1005.0665946724262,-1029083333333.3334,-1029083333333.3334,-1029083333333.3334,-363.7500000000001,8050.0,0.0,-19.64092872570195,434.6652267818575,0.0,7686.25,415.02429805615554,51.78174875906833,1
3,27.429984969939877,26.763318303273213,17584.75,948.4762675296656,-1029083333333.3334,-1029083333333.3334,-1029083333333.3334,-1029.0833333333335,0.0,0.0,-55.50611290902554,0.0,0.0,-1029.0833333333335,-55.50611290902554,17.303290414878393,1
4,28.588677354709418,27.92201068804275,18355.666666666668,988.9906609195403,-1029083333333.3334,-1029083333333.3334,-1029083333333.3334,-1029.0833333333335,1800.0,0.0,-55.44630028735634,96.98275862068967,0.0,770.9166666666665,41.53645833333333,18.052419899047155,1
5,30.04797094188376,29.381304275217097,19326.583333333332,1040.182095443129,-1029083333333.3334,-1039083333333.3334,-1039083333333.3334,-1029.0833333333335,2000.0,0.0,-55.38661643344099,107.64262648008612,0.0,970.9166666666665,52.25601004664514,18.995897103679106,1
6,35.264779559118224,34.59811289245156,22797.499999999996,1225.6720430107523,-1029083333333.3334,-1051861111111.1112,-1051861111111.1112,-1029.0833333333335,4500.0,0.0,-55.327060931899645,241.93548387096772,0.0,3470.9166666666665,186.60842293906808,22.368720814101,1
7,36.09281062124248,35.426143954575814,23348.416666666664,1253.9428929466521,-1029083333333.3334,-1098736111111.1112,-1098736111111.1112,-1029.0833333333335,1580.0,0.0,-55.26763336913714,84.85499462943072,0.0,550.9166666666665,29.58736126029358,22.904067805760246,1
8,36.52404809619238,35.85738142952572,23635.333333333332,1267.9899856938482,-1029083333333.3334,-1111902777777.7778,-1111902777777.7778,-1029.0833333333335,1316.0,0.0,-55.20833333333334,70.60085836909872,0.0,286.9166666666665,15.39252503576537,23.18287580640807,1
9,34.97732965931863,34.31066299265196,22606.249999999996,1211.4817792068593,-1029083333333.3334,-1111902777777.7778,-1111902777777.7778,-1029.0833333333335,0.0,0.0,-55.14916041443374,0.0,0.0,-1029.0833333333335,-55.14916041443374,22.18287580640807,1
10,33.430611222444874,32.76394455577821,21577.16666666666,1155.0945753033545,-1029083333333.3334,-1111902777777.7778,-1111902777777.7778,-1029.0833333333335,0.0,0.0,-55.09011420413991,0.0,0.0,-1029.0833333333335,-55.09011420413991,21.182875806408067,1
11,31.88389278557113,31.217226118904467,20548.08333333333,1098.8279857397501,-1029083333333.3334,-1111902777777.7778,-1111902777777.7778,-1029.0833333333335,0.0,0.0,-55.031194295900185,0.0,0.0,-1029.0833333333335,-55.031194295900185,20.182875806408067,1
12,30.337174348697385,30.017201068804265,19518.999999999996,1042.6816239316238,-1029083333333.3334,-1111902777777.7778,-1111902777777.7778,-798.4166666666667,0.0,0.0,-42.65046296296297,0.0,0.0,-798.4166666666667,-42.65046296296297,25.01381205858817,1
13,29.27479959919839,28.95482631930527,18812.166666666664,997.9929266136161,-706833333333.3333,-789652777777.7777,-789652777777.7777,-706.8333333333333,0.0,0.0,-37.497789566755074,0.0,0.0,-706.8333333333333,-37.497789566755074,27.254814116167566,2
14,57.69728601252609,57.03061934585942,18105.333333333332,959.4771241830064,-706833333333.3333,-789652777777.7777,-789652777777.7777,-1052.8333333333333,0.0,0.0,-55.79402932344108,0.0,0.0,-1052.8333333333333,-55.79402932344108,17.297873463141784,2
15,55.48382045929018,54.81715379262351,17398.499999999996,921.0428798305979,-706833333333.3333,-789652777777.7777,-789652777777.7777,-706.8333333333333,0.0,0.0,-37.418387153696834,0.0,0.0,-706.8333333333333,-37.418387153696834,24.76530692446749,2
16,53.27035490605427,52.6036882393876,16691.666666666664,882.6899347787765,-706833333333.3333,-789652777777.7777,-789652777777.7777,-706.8333333333333,0.0,0.0,-37.378811916093774,0.0,0.0,-706.8333333333333,-37.378811916093774,23.765306924467495,2
17,51.05688935281835,50.39022268615169,15984.833333333327,844.4180313435461,-706833333333.3333,-789652777777.7777,-789652777777.7777,-706.8333333333333,0.0,0.0,-37.33932030287022,0.0,0.0,-706.8333333333333,-37.33932030287022,22.765306924467495,2
18,48.843423799582446,48.17675713291578,15277.999999999993,806.2269129287596,-706833333333.3333,-789652777777.7777,-789652777777.7777,-706.8333333333333,0.0,0.0,-37.29991204925241,0.0,0.0,-706.8333333333333,-37.29991204925241,21.76530692446749,2
19,46.62995824634654,45.963291579679876,14571.16666666666,768.1163240203828,-706833333333.3333,-789652777777.7777,-789652777777.7777,-706.8333333333333,0.0,0.0,-37.2605868915832,0.0,0.0,-706.8333333333333,-37.2605868915832,20.765306924467495,2
20,44.416492693110634,43.74982602644397,13864.333333333328,730.0860101807967,-706833333333.3333,-789652777777.7777,-789652777777.7777,-706.8333333333333,0.0,0.0,-37.22134456731613,0.0,0.0,-706.8333333333333,-37.22134456731613,19.765306924467495,2
21,42.20302713987473,41.53636047320806,13157.499999999995,692.1357180431348,-706833333333.3333,-789652777777.7777,-789652777777.7777,-706.8333333333333,0.0,0.0,-37.182184815009634,0.0,0.0,-706.8333333333333,-37.182184815009634,18.765306924467495,2
22,39.989561586638814,39.32289491997215,12450.66666666666,654.2651953056574,-706833333333.3333,-789652777777.7777,-789652777777.7777,-706.8333333333333,0.0,0.0,-37.14310737432124,0.0,0.0,-706.8333333333333,-37.14310737432124,17.765306924467495,2
23,37.776096033402915,37.109429366736244,11743.833333333328,616.474190726159,-706833333333.3333,-789652777777.7777,-789652777777.7777,-706.8333333333333,0.0,0.0,-37.10411198600175,0.0,0.0,-706.8333333333333,-37.10411198600175,16.765306924467495,2
24,35.56263048016701,34.88674321503131,11036.999999999996,578.762454116413,-706833333333.3333,-789652777777.7777,-789652777777.7777,-709.7777777777777,0.0,0.0,-37.219600302977334,0.0,0.0,-709.7777777777777,-37.219600302977334,15.695757670632432,2
25,33.24399791231732,32.56811064718161,10296.583333333328,536.2803819444442,-740416666666.6667,-823236111111.1112,-823236111111.1112,-740.4166666666667,0.0,0.0,-38.563368055555564,0.0,0.0,-740.4166666666667,-38.563368055555564,14.046257737760262,3
26,30.517117117117103,29.850450450450435,9556.166666666662,497.199098161637,-740416666666.6667,-823236111111.1112,-823236111111.1112,-736.0,0.0,0.0,-38.293444328824144,0.0,0.0,-736.0,-38.293444328824144,13.13054800724637,3
27,28.230115830115817,27.56344916344915,8815.749999999996,458.1990644490643,-740416666666.6667,-823236111111.1112,-823236111111.1112,-740.4166666666667,0.0,0.0,-38.48319473319474,0.0,0.0,-740.4166666666667,-38.48319473319474,12.052222847495772,3
28,25.94311454311453,25.27644787644786,8075.3333333333285,419.28002769124237,-740416666666.6667,-823236111111.1112,-823236111111.1112,-740.4166666666667,0.0,0.0,-38.44323295257875,0.0,0.0,-740.4166666666667,-38.44323295257875,11.052222847495772,3
29,23.65611325611324,22.989446589446576,7334.9166666666615,380.4417358229596,-740416666666.6667,-823236111111.1112,-823236111111.1112,-740.4166666666667,0.0,0.0,-38.4033540802213,0.0,0.0,-740.4166666666667,-38.4033540802213,10.052222847495772,3
30,21.369111969111955,20.70244530244529,6594.499999999995,341.68393782383396,-740416666666.6667,-823236111111.1112,-823236111111.1112,-740.4166666666667,0.0,0.0,-38.36355785837652,0.0,0.0,-740.4166666666667,-38.36355785837652,9.052222847495774,3
31,19.082110682110667,18.415444015444002,5854.0833333333285,303.0063837129052,-740416666666.6667,-823236111111.1112,-823236111111.1112,-740.4166666666667,0.0,0.0,-38.32384403036577,0.0,0.0,-740.4166666666667,-38.32384403036577,8.052222847495772,3
32,16.795109395109378,16.128442728442714,5113.6666666666615,264.40882454326066,-740416666666.6667,-823236111111.1112,-823236111111.1112,-740.4166666666667,0.0,0.0,-38.28421234057222,0.0,0.0,-740.4166666666667,-38.28421234057222,7.052222847495772,3
33,14.508108108108091,13.841441441441425,4373.2499999999945,225.89101239669395,-740416666666.6667,-823236111111.1112,-823236111111.1112,-740.4166666666667,0.0,0.0,-38.244662534435264,0.0,0.0,-740.4166666666667,-38.244662534435264,6.052222847495772,3
34,12.221106821106805,11.554440154440137,3632.833333333328,187.4527003783967,-740416666666.6667,-823236111111.1112,-823236111111.1112,-740.4166666666667,0.0,0.0,-38.20519435844514,0.0,0.0,-740.4166666666667,-38.20519435844514,5.052222847495772,3
35,9.934105534105516,9.26743886743885,2892.416666666661,149.09364261168358,-740416666666.6667,-823236111111.1112,-823236111111.1112,-740.4166666666667,0.0,0.0,-38.165807560137466,0.0,0.0,-740.4166666666667,-38.165807560137466,4.052222847495771,3
36,7.647104247104227,6.970999570999552,2151.9999999999936,110.81359423274941,-740416666666.6667,-823236111111.1112,-823236111111.1112,-743.4722222222223,0.0,0.0,-38.283842544913604,0.0,0.0,-743.4722222222223,-38.283842544913604,3.0355688399028495,3
37,5.2890604890604695,4.612955812955793,1388.583333333327,71.02728047740803,-763416666666.6666,-846236111111.1111,-846236111111.1111,-763.4166666666666,0.0,0.0,-39.04944586530264,0.0,0.0,-763.4166666666666,-39.04944586530264,1.9562638722119043,4
38,2.9040609137055626,2.2373942470388957,625.1666666666597,31.945154147504326,-763416666666.6666,-846236111111.1111,-846236111111.1111,-758.8333333333333,0.0,0.0,-38.77533639925055,0.0,0.0,-758.8333333333333,-38.77533639925055,0.9680796544402865,4
39,0.5789340101522645,-0.08773265651440211,-138.25000000000648,-7.057172026544486,-763416666666.6666,-846236111111.1111,-846236111111.1111,-763.4166666666666,0.0,0.0,-38.969712438318865,0.0,0.0,-763.4166666666666,-38.969712438318865,-0.0377324164028757,4
40,-1.7461928934010331,-2.4128595600677,-901.6666666666724,-45.9799422063576,-763416666666.6666,-846236111111.1111,-846236111111.1111,-763.4166666666666,0.0,0.0,-38.929967703552606,0.0,0.0,-763.4166666666666,-38.929967703552606,-1.037732416402875,4
41,-4.071319796954331,-4.737986463620998,-1665.0833333333385,-84.82339955849916,-763416666666.6666,-846236111111.1111,-846236111111.1111,-763.4166666666666,0.0,0.0,-38.890303956529124,0.0,0.0,-763.4166666666666,-38.890303956529124,-2.037732416402874,4
42,-6.39644670050763,-7.063113367174296,-2428.500000000005,-123.58778625954224,-763416666666.6666,-846236111111.1111,-846236111111.1111,-763.4166666666666,0.0,0.0,-38.85072094995759,0.0,0.0,-763.4166666666666,-38.85072094995759,-3.0377324164028736,4
43,-8.721573604060927,-9.388240270727593,-3191.916666666671,-162.27334350110172,-763416666666.6666,-846236111111.1111,-846236111111.1111,-763.4166666666666,0.0,0.0,-38.81121843755295,0.0,0.0,-763.4166666666666,-38.81121843755295,-4.037732416402872,4
44,-11.046700507614226,-11.713367174280892,-3955.333333333337,-200.8803114948368,-763416666666.6666,-846236111111.1111,-846236111111.1111,-763.4166666666666,0.0,0.0,-38.771796174030804,0.0,0.0,-763.4166666666666,-38.771796174030804,-5.037732416402872,4
45,-13.371827411167523,-14.038494077834189,-4718.750000000003,-239.40892947742276,-763416666666.6666,-846236111111.1111,-846236111111.1111,-763.4166666666666,0.0,0.0,-38.73245391510231,0.0,0.0,-763.4166666666666,-38.73245391510231,-6.037732416402871,4
46,-15.69695431472082,-16.363620981387488,-5482.166666666669,-277.85943571549257,-763416666666.6666,-846236111111.1111,-846236111111.1111,-763.4166666666666,0.0,0.0,-38.693191417469166,0.0,0.0,-763.4166666666666,-38.693191417469166,-7.0377324164028705,4
